student_id	hours_studied_1	sleep_hours_1	attendance_percent_1	previous_scores_1	exam_score_1	hours_studied_2	sleep_hours_2	attendance_percent_2	previous_scores_2	exam_score_2	attendance_mark	final_score	result_status	grade	exam_room	invigilator_name	exam_date	remarks	Attendance (10%)	Gender	Attendance Marks	Year	attendance_percent	exam_score	attendance_mark_10	attendance_band	final_mark_with_attendance	attendance_mark_assigned
S011	3.4	5.3	90.9	81	29.3	3.4	5.3	90.9	81	29.3	9.09	38.39	Fail	F	Room C	Mr. Lee	3/10/2025	Failed - Must Reappear		Male	90.9	2025	90.9	29.3	9	90â€“100%	38.3	10
S012	6.6	7.9	87.6	85	35.1	6.6	7.9	87.6	85	35.1	8.76	43.86	Pass	D	Room C	Mr. Lee	3/10/2025	Needs Improvement		Male	87.6	2025	87.6	35.1	9	80â€“89%	44.1	9
S013	1.3	6.3	83.6	71	31.2	1.3	6.3	83.6	71	31.2	8.36	39.56	Fail	F	Room C	Mr. Smith	3/10/2025	Failed - Must Reappear		Male	83.6	2023	83.6	31.2	8	80â€“89%	39.2	9
S014	3.2	6.1	61.2	68	30.2	3.2	6.1	61.2	68	30.2	6.12	36.32	Fail	F	Room C	Mr. Lee	3/10/2025	Failed - Must Reappear		Male	61.2	2025	61.2	30.2	6	<70%	36.2	6
S015	8.1	8.8	60	68	30.2	3.2	6.1	61.2	68	30.2	6.12	36.32	Fail	F	Room C	Mr. Lee	3/11/2025	Failed - Must Reappear		Male	61.2	2025	61.2	30.2	6	<70%	36.2	6
S016	7	9	51.2	68	30.2	3.2	6.1	61.2	68	30.2	6.12	36.32	Fail	F	Room C	Mr. Lee	3/12/2025	Failed - Must Reappear		Male	61.2	2025	61.2	30.2	6	<70%	36.2	6
S017	3.4	6.8	62.2	68	30.2	3.2	6.1	61.2	68	30.2	6.12	36.32	Fail	F	Room C	Mr. Lee	3/13/2025	Failed - Must Reappear		Male	61.2	2025	61.2	30.2	6	<70%	36.2	6
S018	7.5	7.6	73.8	68	30.2	3.2	6.1	61.2	68	30.2	6.12	36.32	Fail	F	Room C	Mr. Lee	3/14/2025	Failed - Must Reappear		Male	61.2	2025	61.2	30.2	6	<70%	36.2	6
S019	9.9	4.8	92.5	68	30.2	3.2	6.1	61.2	68	30.2	6.12	36.32	Fail	F	Room C	Mr. Lee	3/15/2025	Failed - Must Reappear		Male	61.2	2025	61.2	30.2	6	<70%	36.2	6
S020	1.1	5.5	53.6	68	30.2	3.2	6.1	61.2	68	30.2	6.12	36.32	Fail	F	Room C	Mr. Lee	3/16/2025	Failed - Must Reappear		Male	61.2	2025	61.2	30.2	6	<70%	36.2	6
S021	9.9	8.8	70.7	68	30.2	3.2	6.1	61.2	68	30.2	6.12	36.32	Fail	F	Room C	Mr. Lee	3/17/2025	Failed - Must Reappear		Male	61.2	2025	61.2	30.2	6	<70%	36.2	6
S022	8.7	6.9	81.5	68	30.2	3.2	6.1	61.2	68	30.2	6.12	36.32	Fail	F	Room C	Mr. Lee	3/18/2025	Failed - Must Reappear		Male	61.2	2025	61.2	30.2	6	<70%	36.2	6
S023	4.7	6.7	59.7	68	30.2	3.2	6.1	61.2	68	30.2	6.12	36.32	Fail	F	Room C	Mr. Lee	3/19/2025	Failed - Must Reappear		Male	61.2	2025	61.2	30.2	6	<70%	36.2	6
S024	2.7	7.7	84.8	68	30.2	3.2	6.1	61.2	68	30.2	6.12	36.32	Fail	F	Room C	Mr. Lee	3/20/2025	Failed - Must Reappear		Male	61.2	2025	61.2	30.2	6	<70%	36.2	6
S025	11.5	4.3	74.7	68	30.2	3.2	6.1	61.2	68	30.2	6.12	36.32	Fail	F	Room C	Mr. Lee	3/21/2025	Failed - Must Reappear		Male	61.2	2025	61.2	30.2	6	<70%	36.2	6
S026	4.7	6.9	62.2	68	30.2	3.2	6.1	61.2	68	30.2	6.12	36.32	Fail	F	Room C	Mr. Lee	3/22/2025	Failed - Must Reappear		Male	61.2	2025	61.2	30.2	6	<70%	36.2	6
S027	2	6.5	82.8	68	30.2	3.2	6.1	61.2	68	30.2	6.12	36.32	Fail	F	Room C	Mr. Lee	3/23/2025	Failed - Must Reappear		Male	61.2	2025	61.2	30.2	6	<70%	36.2	6
S028	2.1	8.3	50.3	68	30.2	3.2	6.1	61.2	68	30.2	6.12	36.32	Fail	F	Room C	Mr. Lee	3/24/2025	Failed - Must Reappear		Male	61.2	2025	61.2	30.2	6	<70%	36.2	6
S029	10.3	4.8	87.5	68	30.2	3.2	6.1	61.2	68	30.2	6.12	36.32	Fail	F	Room C	Mr. Lee	3/25/2025	Failed - Must Reappear		Male	61.2	2025	61.2	30.2	6	<70%	36.2	6
S030	7.6	8.8	88.5	68	30.2	3.2	6.1	61.2	68	30.2	6.12	36.32	Fail	F	Room C	Mr. Lee	3/26/2025	Failed - Must Reappear		Male	61.2	2025	61.2	30.2	6	<70%	36.2	6
S031	9.9	4.4	55.3	68	30.2	3.2	6.1	61.2	68	30.2	6.12	36.32	Fail	F	Room C	Mr. Lee	3/27/2025	Failed - Must Reappear		Male	61.2	2025	61.2	30.2	6	<70%	36.2	6
S032	9	4.9	71.3	68	30.2	3.2	6.1	61.2	68	30.2	6.12	36.32	Fail	F	Room C	Mr. Lee	3/28/2025	Failed - Must Reappear		Male	61.2	2025	61.2	30.2	6	<70%	36.2	6
S033	6.9	7	58.8	68	30.2	3.2	6.1	61.2	68	30.2	6.12	36.32	Fail	F	Room C	Mr. Lee	3/29/2025	Failed - Must Reappear		Male	61.2	2025	61.2	30.2	6	<70%	36.2	6
S034	11.7	7.4	97.9	68	30.2	3.2	6.1	61.2	68	30.2	6.12	36.32	Fail	F	Room C	Mr. Lee	3/30/2025	Failed - Must Reappear		Male	61.2	2025	61.2	30.2	6	<70%	36.2	6
S035	5.2	5.2	75.9	68	30.2	3.2	6.1	61.2	68	30.2	6.12	36.32	Fail	F	Room C	Mr. Lee	3/31/2025	Failed - Must Reappear		Male	61.2	2025	61.2	30.2	6	<70%	36.2	6
S036	7.1	4.6	52.5	68	30.2	3.2	6.1	61.2	68	30.2	6.12	36.32	Fail	F	Room C	Mr. Lee	4/1/2025	Failed - Must Reappear		Male	61.2	2025	61.2	30.2	6	<70%	36.2	6
S037	10.1	8.5	62.5	68	30.2	3.2	6.1	61.2	68	30.2	6.12	36.32	Fail	F	Room C	Mr. Lee	4/2/2025	Failed - Must Reappear		Male	61.2	2025	61.2	30.2	6	<70%	36.2	6
S038	7.8	5.2	92.4	68	30.2	3.2	6.1	61.2	68	30.2	6.12	36.32	Fail	F	Room C	Mr. Lee	4/3/2025	Failed - Must Reappear		Male	61.2	2025	61.2	30.2	6	<70%	36.2	6
S039	10.5	7	72.8	68	30.2	3.2	6.1	61.2	68	30.2	6.12	36.32	Fail	F	Room C	Mr. Lee	4/4/2025	Failed - Must Reappear		Male	61.2	2025	61.2	30.2	6	<70%	36.2	6
S040	7.4	7.1	90.1	68	30.2	3.2	6.1	61.2	68	30.2	6.12	36.32	Fail	F	Room C	Mr. Lee	4/5/2025	Failed - Must Reappear		Male	61.2	2025	61.2	30.2	6	<70%	36.2	6
S041	8.8	6.1	83.4	68	30.2	3.2	6.1	61.2	68	30.2	6.12	36.32	Fail	F	Room C	Mr. Lee	4/6/2025	Failed - Must Reappear		Male	61.2	2025	61.2	30.2	6	<70%	36.2	6
S042	1.5	6.9	99.4	68	30.2	3.2	6.1	61.2	68	30.2	6.12	36.32	Fail	F	Room C	Mr. Lee	4/7/2025	Failed - Must Reappear		Male	61.2	2025	61.2	30.2	6	<70%	36.2	6
S043	3.5	6.6	79.8	68	30.2	3.2	6.1	61.2	68	30.2	6.12	36.32	Fail	F	Room C	Mr. Lee	4/8/2025	Failed - Must Reappear		Male	61.2	2025	61.2	30.2	6	<70%	36.2	6
S044	4.2	8.7	97.5	68	30.2	3.2	6.1	61.2	68	30.2	6.12	36.32	Fail	F	Room C	Mr. Lee	4/9/2025	Failed - Must Reappear		Male	61.2	2025	61.2	30.2	6	<70%	36.2	6
S045	1.9	5	94.6	68	30.2	3.2	6.1	61.2	68	30.2	6.12	36.32	Fail	F	Room C	Mr. Lee	4/10/2025	Failed - Must Reappear		Male	61.2	2025	61.2	30.2	6	<70%	36.2	6
S046	3.6	7.6	80.6	68	30.2	3.2	6.1	61.2	68	30.2	6.12	36.32	Fail	F	Room C	Mr. Lee	4/11/2025	Failed - Must Reappear		Male	61.2	2025	61.2	30.2	6	<70%	36.2	6
S047	2.1	5.2	86	68	30.2	3.2	6.1	61.2	68	30.2	6.12	36.32	Fail	F	Room C	Mr. Lee	4/12/2025	Failed - Must Reappear		Male	61.2	2025	61.2	30.2	6	<70%	36.2	6
S048	4.1	6	75.2	68	30.2	3.2	6.1	61.2	68	30.2	6.12	36.32	Fail	F	Room C	Mr. Lee	4/13/2025	Failed - Must Reappear		Male	61.2	2025	61.2	30.2	6	<70%	36.2	6
S049	8	7.4	91.5	68	30.2	3.2	6.1	61.2	68	30.2	6.12	36.32	Fail	F	Room C	Mr. Lee	4/14/2025	Failed - Must Reappear		Male	61.2	2025	61.2	30.2	6	<70%	36.2	6
S050	5	5.5	77.4	68	30.2	3.2	6.1	61.2	68	30.2	6.12	36.32	Fail	F	Room C	Mr. Lee	4/15/2025	Failed - Must Reappear		Male	61.2	2025	61.2	30.2	6	<70%	36.2	6
S051	5.1	5.6	94.9	68	30.2	3.2	6.1	61.2	68	30.2	6.12	36.32	Fail	F	Room C	Mr. Lee	4/16/2025	Failed - Must Reappear		Male	61.2	2025	61.2	30.2	6	<70%	36.2	6
S052	3.3	7.8	87.2	68	30.2	3.2	6.1	61.2	68	30.2	6.12	36.32	Fail	F	Room C	Mr. Lee	4/17/2025	Failed - Must Reappear		Male	61.2	2025	61.2	30.2	6	<70%	36.2	6
S053	3.9	4.4	73.7	68	30.2	3.2	6.1	61.2	68	30.2	6.12	36.32	Fail	F	Room C	Mr. Lee	4/18/2025	Failed - Must Reappear		Male	61.2	2025	61.2	30.2	6	<70%	36.2	6
S054	11.3	6.3	63	68	30.2	3.2	6.1	61.2	68	30.2	6.12	36.32	Fail	F	Room C	Mr. Lee	4/19/2025	Failed - Must Reappear		Male	61.2	2025	61.2	30.2	6	<70%	36.2	6
S055	8.1	9	62.4	68	30.2	3.2	6.1	61.2	68	30.2	6.12	36.32	Fail	F	Room C	Mr. Lee	4/20/2025	Failed - Must Reappear		Male	61.2	2025	61.2	30.2	6	<70%	36.2	6
S056	7.7	9	81.9	68	30.2	3.2	6.1	61.2	68	30.2	6.12	36.32	Fail	F	Room C	Mr. Lee	4/21/2025	Failed - Must Reappear		Male	61.2	2025	61.2	30.2	6	<70%	36.2	6
S057	2.9	4.4	88.3	68	30.2	3.2	6.1	61.2	68	30.2	6.12	36.32	Fail	F	Room C	Mr. Lee	4/22/2025	Failed - Must Reappear		Male	61.2	2025	61.2	30.2	6	<70%	36.2	6
S058	9	5.1	76.1	68	30.2	3.2	6.1	61.2	68	30.2	6.12	36.32	Fail	F	Room C	Mr. Lee	4/23/2025	Failed - Must Reappear		Male	61.2	2025	61.2	30.2	6	<70%	36.2	6
S059	2.8	5.3	81.3	68	30.2	3.2	6.1	61.2	68	30.2	6.12	36.32	Fail	F	Room C	Mr. Lee	4/24/2025	Failed - Must Reappear		Male	61.2	2025	61.2	30.2	6	<70%	36.2	6
S060	5.2	8.7	63.7	68	30.2	3.2	6.1	61.2	68	30.2	6.12	36.32	Fail	F	Room C	Mr. Lee	4/25/2025	Failed - Must Reappear		Male	61.2	2025	61.2	30.2	6	<70%	36.2	6
S061	11.9	8.4	53.9	68	30.2	3.2	6.1	61.2	68	30.2	6.12	36.32	Fail	F	Room C	Mr. Lee	4/26/2025	Failed - Must Reappear		Male	61.2	2025	61.2	30.2	6	<70%	36.2	6
S062	8	8.4	64.3	68	30.2	3.2	6.1	61.2	68	30.2	6.12	36.32	Fail	F	Room C	Mr. Lee	4/27/2025	Failed - Must Reappear		Male	61.2	2025	61.2	30.2	6	<70%	36.2	6
S063	7.1	5.8	63.6	68	30.2	3.2	6.1	61.2	68	30.2	6.12	36.32	Fail	F	Room C	Mr. Lee	4/28/2025	Failed - Must Reappear		Male	61.2	2025	61.2	30.2	6	<70%	36.2	6
S064	8.5	4.8	66	68	30.2	3.2	6.1	61.2	68	30.2	6.12	36.32	Fail	F	Room C	Mr. Lee	4/29/2025	Failed - Must Reappear		Male	61.2	2025	61.2	30.2	6	<70%	36.2	6
S065	10.3	8.2	77	68	30.2	3.2	6.1	61.2	68	30.2	6.12	36.32	Fail	F	Room C	Mr. Lee	4/30/2025	Failed - Must Reappear		Male	61.2	2025	61.2	30.2	6	<70%	36.2	6
S066	9.5	7.5	56.9	68	30.2	3.2	6.1	61.2	68	30.2	6.12	36.32	Fail	F	Room C	Mr. Lee	5/1/2025	Failed - Must Reappear		Male	61.2	2025	61.2	30.2	6	<70%	36.2	6
S067	3.5	7.1	61.6	68	30.2	3.2	6.1	61.2	68	30.2	6.12	36.32	Fail	F	Room C	Mr. Lee	5/2/2025	Failed - Must Reappear		Male	61.2	2025	61.2	30.2	6	<70%	36.2	6
S068	1.4	8.9	84.7	68	30.2	3.2	6.1	61.2	68	30.2	6.12	36.32	Fail	F	Room C	Mr. Lee	5/3/2025	Failed - Must Reappear		Male	61.2	2025	61.2	30.2	6	<70%	36.2	6
S069	4.5	7.3	85.3	68	30.2	3.2	6.1	61.2	68	30.2	6.12	36.32	Fail	F	Room C	Mr. Lee	5/4/2025	Failed - Must Reappear		Male	61.2	2025	61.2	30.2	6	<70%	36.2	6
S070	3.9	4	53.2	68	30.2	3.2	6.1	61.2	68	30.2	6.12	36.32	Fail	F	Room C	Mr. Lee	5/5/2025	Failed - Must Reappear		Male	61.2	2025	61.2	30.2	6	<70%	36.2	6
S071	3.3	8.1	70.4	68	30.2	3.2	6.1	61.2	68	30.2	6.12	36.32	Fail	F	Room C	Mr. Lee	5/6/2025	Failed - Must Reappear		Male	61.2	2025	61.2	30.2	6	<70%	36.2	6
S072	11.4	5.5	77.1	68	30.2	3.2	6.1	61.2	68	30.2	6.12	36.32	Fail	F	Room C	Mr. Lee	5/7/2025	Failed - Must Reappear		Male	61.2	2025	61.2	30.2	6	<70%	36.2	6
S073	10.6	7.3	70.8	68	30.2	3.2	6.1	61.2	68	30.2	6.12	36.32	Fail	F	Room C	Mr. Lee	5/8/2025	Failed - Must Reappear		Male	61.2	2025	61.2	30.2	6	<70%	36.2	6
S074	4.5	8.7	60.3	68	30.2	3.2	6.1	61.2	68	30.2	6.12	36.32	Fail	F	Room C	Mr. Lee	5/9/2025	Failed - Must Reappear		Male	61.2	2025	61.2	30.2	6	<70%	36.2	6
S075	8.2	4.7	71	68	30.2	3.2	6.1	61.2	68	30.2	6.12	36.32	Fail	F	Room C	Mr. Lee	5/10/2025	Failed - Must Reappear		Male	61.2	2025	61.2	30.2	6	<70%	36.2	6
S076	5.4	4.6	95.2	68	30.2	3.2	6.1	61.2	68	30.2	6.12	36.32	Fail	F	Room C	Mr. Lee	5/11/2025	Failed - Must Reappear		Male	61.2	2025	61.2	30.2	6	<70%	36.2	6
S077	11.1	4.5	79.2	68	30.2	3.2	6.1	61.2	68	30.2	6.12	36.32	Fail	F	Room C	Mr. Lee	5/12/2025	Failed - Must Reappear		Male	61.2	2025	61.2	30.2	6	<70%	36.2	6
S078	6	6.8	84.8	68	30.2	3.2	6.1	61.2	68	30.2	6.12	36.32	Fail	F	Room C	Mr. Lee	5/13/2025	Failed - Must Reappear		Male	61.2	2025	61.2	30.2	6	<70%	36.2	6
S079	3.9	5.4	92.8	68	30.2	3.2	6.1	61.2	68	30.2	6.12	36.32	Fail	F	Room C	Mr. Lee	5/14/2025	Failed - Must Reappear		Male	61.2	2025	61.2	30.2	6	<70%	36.2	6
S080	3.7	7	88.3	68	30.2	3.2	6.1	61.2	68	30.2	6.12	36.32	Fail	F	Room C	Mr. Lee	5/15/2025	Failed - Must Reappear		Male	61.2	2025	61.2	30.2	6	<70%	36.2	6
S081	7.2	7.6	69	68	30.2	3.2	6.1	61.2	68	30.2	6.12	36.32	Fail	F	Room C	Mr. Lee	5/16/2025	Failed - Must Reappear		Male	61.2	2025	61.2	30.2	6	<70%	36.2	6
S082	3.9	5	50.3	68	30.2	3.2	6.1	61.2	68	30.2	6.12	36.32	Fail	F	Room C	Mr. Lee	5/17/2025	Failed - Must Reappear		Male	61.2	2025	61.2	30.2	6	<70%	36.2	6
S083	7.4	7.2	67.6	68	30.2	3.2	6.1	61.2	68	30.2	6.12	36.32	Fail	F	Room C	Mr. Lee	5/18/2025	Failed - Must Reappear		Male	61.2	2025	61.2	30.2	6	<70%	36.2	6
S084	10.9	5.3	87.7	68	30.2	3.2	6.1	61.2	68	30.2	6.12	36.32	Fail	F	Room C	Mr. Lee	5/19/2025	Failed - Must Reappear		Male	61.2	2025	61.2	30.2	6	<70%	36.2	6
S085	5.4	6.4	92.7	68	30.2	3.2	6.1	61.2	68	30.2	6.12	36.32	Fail	F	Room C	Mr. Lee	5/20/2025	Failed - Must Reappear		Male	61.2	2025	61.2	30.2	6	<70%	36.2	6
S086	3.4	8.5	97.7	68	30.2	3.2	6.1	61.2	68	30.2	6.12	36.32	Fail	F	Room C	Mr. Lee	5/21/2025	Failed - Must Reappear		Male	61.2	2025	61.2	30.2	6	<70%	36.2	6
S087	12	8.2	71	68	30.2	3.2	6.1	61.2	68	30.2	6.12	36.32	Fail	F	Room C	Mr. Lee	5/22/2025	Failed - Must Reappear		Male	61.2	2025	61.2	30.2	6	<70%	36.2	6
S088	6.6	4.5	87.4	68	30.2	3.2	6.1	61.2	68	30.2	6.12	36.32	Fail	F	Room C	Mr. Lee	5/23/2025	Failed - Must Reappear		Male	61.2	2025	61.2	30.2	6	<70%	36.2	6
S089	2	6.1	77.3	68	30.2	3.2	6.1	61.2	68	30.2	6.12	36.32	Fail	F	Room C	Mr. Lee	5/24/2025	Failed - Must Reappear		Male	61.2	2025	61.2	30.2	6	<70%	36.2	6
S090	1.5	5.4	80.2	68	30.2	3.2	6.1	61.2	68	30.2	6.12	36.32	Fail	F	Room C	Mr. Lee	5/25/2025	Failed - Must Reappear		Male	61.2	2025	61.2	30.2	6	<70%	36.2	6
S091	2.2	4	61	68	30.2	3.2	6.1	61.2	68	30.2	6.12	36.32	Fail	F	Room C	Mr. Lee	5/26/2025	Failed - Must Reappear		Male	61.2	2025	61.2	30.2	6	<70%	36.2	6
S092	7.9	7.9	61	68	30.2	3.2	6.1	61.2	68	30.2	6.12	36.32	Fail	F	Room C	Mr. Lee	5/27/2025	Failed - Must Reappear		Male	61.2	2025	61.2	30.2	6	<70%	36.2	6
S093	9.7	7.2	71.8	68	30.2	3.2	6.1	61.2	68	30.2	6.12	36.32	Fail	F	Room C	Mr. Lee	5/28/2025	Failed - Must Reappear		Male	61.2	2025	61.2	30.2	6	<70%	36.2	6
S094	5.6	5.3	51.5	68	30.2	3.2	6.1	61.2	68	30.2	6.12	36.32	Fail	F	Room C	Mr. Lee	5/29/2025	Failed - Must Reappear		Male	61.2	2025	61.2	30.2	6	<70%	36.2	6
S095	1.7	7.7	66.8	68	30.2	3.2	6.1	61.2	68	30.2	6.12	36.32	Fail	F	Room C	Mr. Lee	5/30/2025	Failed - Must Reappear		Male	61.2	2025	61.2	30.2	6	<70%	36.2	6
S096	5.2	6.8	84	68	30.2	3.2	6.1	61.2	68	30.2	6.12	36.32	Fail	F	Room C	Mr. Lee	5/31/2025	Failed - Must Reappear		Male	61.2	2025	61.2	30.2	6	<70%	36.2	6
S097	12	6.1	70.2	68	30.2	3.2	6.1	61.2	68	30.2	6.12	36.32	Fail	F	Room C	Mr. Lee	6/1/2025	Failed - Must Reappear		Male	61.2	2025	61.2	30.2	6	<70%	36.2	6
S098	6.8	4	58.3	68	30.2	3.2	6.1	61.2	68	30.2	6.12	36.32	Fail	F	Room C	Mr. Lee	6/2/2025	Failed - Must Reappear		Male	61.2	2025	61.2	30.2	6	<70%	36.2	6
S099	11.7	4.4	73.4	68	30.2	3.2	6.1	61.2	68	30.2	6.12	36.32	Fail	F	Room C	Mr. Lee	6/3/2025	Failed - Must Reappear		Male	61.2	2025	61.2	30.2	6	<70%	36.2	6
S100	10.5	8.4	56.4	68	30.2	3.2	6.1	61.2	68	30.2	6.12	36.32	Fail	F	Room C	Mr. Lee	6/4/2025	Failed - Must Reappear		Male	61.2	2025	61.2	30.2	6	<70%	36.2	6
